id	source_fen	first_move	fen	expected_move	allowed_moves	themes	rating	popularity	source_url	note
001cr	8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38	c5c4	8/3B2pp/p5k1/6P1/1ppp1K2/8/1P6/8 w - - 0 39	d7e8	d7e8	bishopEndgame endgame mate mateIn1 oneMove	1720	94	https://lichess.org/7FFNwibw/black#76	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-one.
001pC	r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18	f1g1	r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q2RK b - - 0 18	h3f2	h3f2	mate mateIn1 middlegame oneMove smotheredMate	870	91	https://lichess.org/d04UP3XD#35	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-one.
001wb	r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17	h2g3	r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1PP1/PP4P1/R1B2R1K b kq - 0 17	g6h5	g6h5	mate mateIn1 middlegame oneMove	1106	95	https://lichess.org/hNzYRMWP#33	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-one.
002HE	1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2B1Pb/3R1RK1 w - - 1 20	g1f2	1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2BKPb/3R1R2 b - - 2 20	b8g3	b8g3	master mate mateIn1 middlegame oneMove	1116	94	https://lichess.org/U21EXYdv#39	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-one.
002Q2	7k/p4R1p/3p3r/2pN1n2/2PbBBb1/3P2P1/P3r3/5R1K w - - 1 28	f4h6	7k/p4R1p/3p3B/2pN1n2/2PbB1b1/3P2P1/P3r3/5R1K b - - 0 28	f5g3	f5g3	cornerMate mate mateIn1 middlegame oneMove	954	100	https://lichess.org/yqAJ1jMv#55	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-one.
000Zo	4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35	e5f6	4r3/1k6/pp3P2/1b5p/3R1p2/P1R2P2/1P4PP/6K1 b - - 0 35	e8e1	e8e1	endgame mate mateIn2 operaMate short	1364	86	https://lichess.org/n8Ff742v#69	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
000hf	r1bqk2r/pp1nbNp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 b kq - 0 19	e8f7	r1bq3r/pp1nbkp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 w - - 0 20	e2e6	e2e6	mate mateIn2 middlegame short	1582	92	https://lichess.org/71ygsFeE/black#38	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
001Wz	4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21	e8e5	6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1 w - - 0 22	d1d8	d1d8	backRankMate endgame mate mateIn2 short	1118	89	https://lichess.org/84RH3LaP/black#42	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
001om	5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26	g4h4	5r1k/pp4pp/5p2/1BbQp1r1/7K/7P/1PP3P1/3R3R b - - 3 26	c5f2	c5f2	mate mateIn2 middlegame morphysMate short	1018	89	https://lichess.org/VWOIWtIh#51	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
001w5	1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29	f8f7	1rb3k1/q4rP1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 w - - 1 30	c2h7	c2h7	advancedPawn attraction mate mateIn2 middlegame promotion short	1034	85	https://lichess.org/0e1vxAEn/black#58	Lichess CC0 puzzle; normalized by applying first_move; Arasan depth-4 regression for mate-in-two.
